,mzmed,rtmed,12hpi_Cf_1,12hpi_Cf_2,12hpi_Cf_3,1dpi_Cf_1,1dpi_Cf_2,1dpi_Cf_3,2dpi_Cf_1,2dpi_Cf_2,2dpi_Cf_3,12hpi_Chitin_1,12hpi_Chitin_2,12hpi_Chitin_3,1dpi_Chitin_1,1dpi_Chitin_2,1dpi_Chitin_3,2dpi_Chitin_1,2dpi_Chitin_2,2dpi_Chitin_3,12hpi_Flg22_1,12hpi_Flg22_2,12hpi_Flg22_3,1dpi_Flg22_1,1dpi_Flg22_2,1dpi_Flg22_3,2dpi_Flg22_1,2dpi_Flg22_2,2dpi_Flg22_3,2hpi_Mock_1,2hpi_Mock_2,2hpi_Mock_3,1dpi_Mock_1,1dpi_Mock_2,1dpi_Mock_3,2dpi_Mock_1,2dpi_Mock_2,2dpi_Mock_3,2hpi_Mock_1.1,2hpi_Mock_2.1,2hpi_Mock_3.1,1dpi_Mock_1.1,1dpi_Mock_2.1,1dpi_Mock_3.1,2dpi_Mock_1.1,2dpi_Mock_2.1,2dpi_Mock_3.1,12hpi_Mz_1,12hpi_Mz_2,12hpi_Mz_3,1dpi_Mz_1,1dpi_Mz_2,1dpi_Mz_3,2dpi_Mz_1,2dpi_Mz_2,2dpi_Mz_3,12hpi_Pb_1,12hpi_Pb_2,12hpi_Pb_3,1dpi_Pb_1_,1dpi_Pb_2_,1dpi_Pb_3_,2dpi_Pb_1_,2dpi_Pb_2_,2dpi_Pb_3_,12hpi_Sc_1,12hpi_Sc_2,12hpi_Sc_3,1dpi_Sc_1,1dpi_Sc_2,1dpi_Sc_3,2dpi_Sc_1,2dpi_Sc_2,2dpi_Sc_3,12hpi_XeWT_1,12hpi_XeWT_2,12hpi_XeWT_3,1dpi_XeWT_1,1dpi_XeWT_2,1dpi_XeWT_3,2dpi_XeWT_1,2dpi_XeWT_2,2dpi_XeWT_3
M268T1986,267.6468492,1986.4643010000002,697116.935,1178247.353,870102.5375,805004.1581,753327.811,805983.3726,825675.1013,608991.6460000001,537144.4314,329320.8375,195757.1789,304001.1587,296655.2987,338219.5628,288848.0086,268742.8599,376825.6605,213483.4395,234926.2851,334604.2894,214102.1688,208415.1878,299240.8134,314605.283,238155.37,262492.1344,289461.7333,190835.3158,312077.4032,302729.6667,0.0,238018.7462,288537.5581,189872.1985,313732.6862,300967.69899999996,343265.7366,303568.1486,254937.8055,221381.9265,194998.7756,215732.6574,351331.2042,212043.329,369761.2628,376651.2194,388592.1653,327808.9195,257083.52800000002,324173.155,359093.1867,284302.5142,283397.2446,343816.4746,319650.3041,320839.3943,303359.4761,270010.6691,294887.5237,244489.8588,254930.4036,254554.5874,252964.0067,413725.55,458473.2622,376426.8927,364883.2012,473637.6,543907.6561,681262.4562,697693.1109,591176.02,390493.6363,350009.511,294331.5434,260069.5411,290647.6782,300266.7361,370385.4895,527492.9002,419649.6963
M269T673,269.17406339999997,672.6224783,2041.129218,3009.226117,4199.262839,4043.911274,4336.055174,3645.294663,3193.250669,3526.445829,3806.9820090000003,150224.4032,12754.757520000001,51973.770039999996,46630.575880000004,11160.58453,37337.67446,43146.037280000004,39888.875810000005,80729.55032000001,7655.936486,27122.4005,18851.08222,16603.27849,79014.84311,20182.66592,13171.40438,13241.34719,26343.674219999997,12124.95646,7120.162665999999,36087.2961,18795.02401,12096.21021,28404.23334,14494.71153,29109.767710000004,16727.23141,3586.484021,3094.163166,4404.032002,3997.8753049999996,4017.616653,3030.8256699999997,4085.1472479999998,3649.956321,3326.9739870000003,17169.387459999998,10429.09023,18473.7144,18657.588490000002,17706.99816,17336.06089,10572.94692,13500.385119999999,13038.0366,13937.58429,7676.286186,10475.15982,29460.60008,9001.007918000001,30933.3449,9210.866922,9101.889259,16581.55517,63115.881720000005,32270.732369999998,30786.51187,124858.0401,75672.4546,72664.57217,186661.3039,152232.9211,61149.6903,3516.211954,7495.244628,6738.1672,8424.31689,4317.663205,7672.471326000001,3193.286572,3241.4114879999997,1270.068814
M269T757,269.17384500000003,757.2337265,1518.466821,1571.040481,3239.164252,1142.376999,2103.949656,1999.3092789999998,1659.98398,1502.939969,3497.9964259999997,104404.605,14154.77436,57525.62844,35107.67571,12107.32999,49863.93847,34009.73363,54465.54911,126785.5453,8182.670523999999,24694.19968,15033.55272,22360.750519999998,117144.9432,29004.40314,13728.88699,16872.11686,21293.14689,13851.20545,10641.64833,48478.6736,26781.49738,14186.21175,30985.0382,17776.39299,25893.125669999998,14683.58149,2361.856104,3986.5745020000004,1143.9762560000001,3284.1915089999998,2909.7184399999996,2748.052205,1159.688218,3233.236055,5708.724795,15929.56049,11412.458,19203.41081,21403.60984,22206.24657,14252.939209999999,12021.496659999999,11946.555409999999,10681.79992,15863.7278,8858.757259,9479.968212,50059.16535,10730.071609999999,47276.44902,10269.75365,9958.413873,19603.05344,47860.63747,26185.57076,21836.11641,78733.73788,65038.63315,56508.7193,102758.6533,88984.4821,37095.164560000005,1153.1046,5454.067384,1606.200538,4147.145637,1832.566656,3223.9959910000002,1435.2627539999999,2678.011439,3923.685121
M272T905,272.1996195,905.4351365,28391.953760000004,37067.00063,28615.69406,72619.52857000001,49334.07585,49464.23371,576660.3819,458699.2104,344930.7612,14363.207890000001,7833.755461,8717.043965,12780.29035,8944.715723000001,16472.46502,21602.1714,14856.5243,19201.5627,10053.35642,18402.13639,15595.34214,17806.001080000002,55023.01663,43251.27268,23205.57561,156709.5701,109648.2279,7915.348451999999,7782.473462000001,10613.09257,9631.411904,12858.094079999999,12488.79518,15710.1328,13126.483740000001,18164.087180000002,7257.942881,7770.262393000001,13342.23319,9156.944995,10179.7468,10015.81423,8661.803907,8551.252958,14697.31497,10721.63378,7658.306639,6947.11713,37603.20967,22604.93609,59774.55537,274679.9083,80787.58673,171738.7929,13721.25129,6561.458119,8515.336492,134408.4959,16686.07861,60034.18305,890367.8874,316819.2823,522053.9476,13091.50036,9286.742370999998,6331.961128,101258.2847,84176.30771000001,80740.06726,1261047.121,1065171.13,842292.4321,14237.255580000001,7150.467070999999,13162.37142,16391.13618,17671.875640000002,42480.80162,31397.44042,45372.36266,70608.78075
M273T1237,273.19341539999994,1237.343612,44820.12876,31717.01788,43187.4924,112602.1328,53023.07228,47972.69452,121107.2159,76586.03016000001,56629.44858,10147.307009999999,9668.939612,10390.06107,9957.946349,10505.25453,9857.343296,9071.688312,11753.09727,14148.100540000001,9737.613827,9512.846527,10295.99008,9284.915907999999,9702.597558,9424.448563,11278.27844,10143.41807,10238.81819,10552.98395,10119.48151,11124.21602,10281.006,9801.31223,45781.77454,10514.74264,32027.60357,31639.61415,7849.317209000001,6838.147343000001,8612.000602,7827.571390000001,7782.614673,9416.775911,12901.15301,9462.535087999999,12853.78629,10339.35673,9676.440057,9158.89702,10136.38776,11116.022840000001,11036.60706,10967.579679999999,10922.95259,179367.8231,10241.8612,10429.595309999999,10373.15255,10466.8576,10106.46797,10345.72762,11660.36722,12228.59109,11227.98863,10611.44707,10552.00092,11026.72163,10948.11209,10399.46191,11275.853159999999,12434.30505,12537.26686,11034.4251,9018.948119,9333.368411,7252.369038,7874.242836,8440.382631,7160.2089670000005,8780.422047,9966.076631999998,9939.480901
M273T1718,273.21999589999996,1718.1252989999998,156938.8918,127220.2791,171342.4223,225587.0337,73514.57222999999,57554.24149,142339.5376,105441.1545,118954.668,46737.62283,108289.7704,68109.76504,119042.5457,13175.777409999999,26968.88182,172554.5065,51507.28452,102723.39199999999,10499.30039,69854.80657,75669.54774,58720.65511,31801.34171,22595.98154,84112.75759,40507.559989999994,61902.30797,136515.5969,10161.90906,52414.61554,0.0,82564.43903,95018.11482,157231.9254,119168.3449,76411.4882,42522.27224,36150.39136,44685.47857,18178.804630000002,9820.060792,24426.04549,65697.03722,23798.854040000002,55254.39574,57959.3133,21364.91469,50390.1492,44550.23354,68347.53098,51049.948130000004,30330.90275,120752.0049,58252.144510000006,69090.97871,13654.58247,14154.39145,47591.60528,15326.65819,73645.47962,10960.121079999999,39963.15583,28121.98441,20945.17929,15225.833169999998,58831.540120000005,11233.09232,19409.39571,17239.02171,19927.63495,17039.71531,35412.46655,63423.33802999999,110563.0225,29287.7562,23909.148540000002,28787.965310000003,15561.83848,29540.83391,26126.477469999998,17466.79229
M273T712,272.5778358,712.1406168,4448.333029,3543.61465,3027.757459,4821.731501,7602.1158780000005,5924.289343,34282.13015,40856.75913,29303.3094,22009.87546,21530.89635,18349.13207,16581.23531,70721.54601,41547.167839999995,28592.50372,142806.0114,50918.222219999996,18258.36936,19960.305809999998,27656.88859,22571.843780000003,51029.27811,49729.70081,18427.37656,41850.3897,21833.99306,10752.7318,18037.83451,13975.62546,9543.913062,8554.046553,7013.358978,6446.450381000001,3464.212872,5400.524427,2775.559957,2262.841562,3184.418691,1599.611469,2378.892659,4178.803354,7120.496193000001,5405.4470329999995,6135.115742,21487.49582,38815.00013,25796.79092,25105.155319999998,23884.16949,32044.766730000003,28787.589930000002,13553.43256,26996.25769,17879.39401,21750.71511,22110.00354,24613.40133,22985.33419,18367.655459999998,48540.37963,32777.19111,26378.41068,13430.06887,17393.55773,8641.026245000001,18672.20737,15262.54709,11658.487659999999,29340.84463,30695.6543,15067.44801,7527.076934999999,1581.896942,3837.8831990000003,5242.4925140000005,6729.355337000001,4781.585607,36804.90362,39710.560410000006,38907.30394
M274T1158,274.2150146,1157.8797539999998,78997.48594,74664.02486,81439.26378,101220.4384,63755.42,60485.37787999999,424420.1912,280929.217,206313.8839,9942.738077,10430.81576,10122.89617,16055.882230000001,12416.73997,14644.00741,17332.12016,12789.41243,15696.08935,14667.98803,15936.102830000002,15174.066359999999,23827.028769999997,34715.03832,30886.25771,19544.66535,54770.78122999999,45309.30678,10148.4742,11138.27207,11158.05044,11629.62507,12221.35928,11397.89819,12880.50992,10226.50881,13050.98603,7337.355688,10608.33594,11064.931120000001,8544.803984999999,10490.18618,9311.497351,9951.294845999999,9654.225956999999,15839.88221,12299.826640000001,11750.21567,10838.91238,34301.03225,31620.71587,50660.291710000005,116014.8492,54559.04527,88033.82418,15021.04893,9466.455403,8750.813513,93675.29103,16796.59489,47198.09728,300788.4464,179959.7989,216639.0511,6819.1390599999995,8432.531973000001,8047.936970999999,88625.65281,69941.03783,83895.14376,532440.2008,494627.2579,486756.8126,15014.81727,8825.264481,16136.20369,17943.74293,24364.70691,35282.64963,20784.30465,28419.624010000003,36575.66607
M274T851,274.2139515,851.4196406,45382.07961,53515.23557,42448.31785,120214.2149,83860.66937,80985.15761000001,780523.6857,519783.7014,476666.3574,9884.226862000001,11023.1831,10060.67165,20662.40756,13930.451819999998,18137.673740000002,27595.22529,17354.05674,19962.99684,9195.345793999999,12384.889290000001,14931.834369999999,19706.23705,45956.782589999995,37920.99187,24496.0679,105771.899,74138.09114,8876.59525,8640.077259,9685.925995,10339.70037,10878.44935,11334.0116,15139.95136,11842.02547,14572.82052,7817.52764,8893.304848,8683.195943,8560.41158,10222.926379999999,6322.561905,10584.94517,8808.07866,13269.00092,10292.30805,9188.822265,8481.203813,30060.946460000003,20823.89302,41613.40531,224526.8638,58509.71346,117177.8676,13772.94215,7376.973859000001,8995.636588,131350.3846,16738.87813,44238.694410000004,714054.2849,248077.4807,347583.9223,7367.047858,8131.033119,7790.180273000001,74159.62679,69360.09865,63208.044279999995,1085671.623,1036222.715,734458.5121,10437.89633,6808.794397,8999.929821,14839.4521,8797.065565,48609.49239,39388.57175,48983.70649,67106.44731
M275T2015,275.20008210000003,2014.9519460000001,45225.09827,113903.6374,107633.0702,364496.3544,38809.8474,35431.424530000004,246172.169,65673.80924,107399.3604,89190.97374,67401.24093,126148.2026,161339.2017,23933.22756,80872.71693,197593.5921,203550.7171,561210.9606,12561.81549,58812.146570000004,48272.049530000004,64308.74055,67599.5102,32257.32175,44121.41365,31553.85072,37832.25383,99104.60693,11755.591190000001,80912.6751,0.0,40335.249260000004,54925.806370000006,46327.29982,47189.710419999996,28316.61486,30966.417660000003,30836.677860000003,13068.67864,23131.973140000002,11808.93563,12090.26823,36804.41633,16224.85442,18113.15361,44404.98123,17286.63648,61015.579860000005,40564.02436,40734.418,29265.40408,22615.81311,48072.95083,26062.76999,78609.74596,13373.28365,15473.540780000001,105749.8184,24097.35984,65447.783110000004,28471.8822,28171.859969999998,27051.56338,44124.35446,32066.16004,42807.14887,60699.28652,49220.83702,46856.21308,191783.6589,169911.27399999998,72366.97286000001,32634.33793,31927.27625,20288.10976,26090.168230000003,25511.878780000003,29585.44447,33119.244080000004,55284.46695,34164.67858
M276T882,276.23098849999997,882.0416287,69791.41145,147706.5948,78391.38727,291428.0939,257020.2803,351343.6577,501055.6317,387319.5359,497473.7724,13172.26943,12111.36286,11077.11584,28563.7376,26995.46021,31291.05442,26791.920980000003,34010.89217,28152.542410000002,21641.29519,25791.106519999998,33352.982939999994,65122.782289999996,112783.4927,266302.9513,95434.15379,168190.3239,215812.6475,13108.150029999999,12749.37499,14381.25669,14453.022659999999,16028.40426,12250.58643,14173.53926,13205.59328,10799.6258,14862.154830000001,17972.51744,25743.78772,18009.46888,26639.84764,23623.26576,21637.28231,16356.74621,24377.95508,21668.72505,13415.137270000001,10359.048270000001,166841.9388,147487.5483,169764.3799,354436.1101,174718.8914,186974.3243,15499.341190000001,10455.52575,10817.12075,154747.06,38374.37561,72915.76545,450611.526,254189.3755,297523.3107,10675.26524,13516.70095,8983.197398999999,225802.139,196652.8804,189892.2921,494403.6147,549448.3534,509786.2811,41540.02055,13877.17345,32607.98365,100222.806,147441.4941,310166.1531,58488.49412,83659.59283,101359.1073
M277T1444,277.2148537,1443.715705,72092.35251,137447.0798,77740.64927000001,166229.4368,115106.0893,99595.50104,105285.9717,155043.1992,92498.96664,18643.45787,19918.47511,21310.71376,24897.26166,24782.2732,30766.0717,26902.058460000004,29075.50713,32992.22298,22836.73125,20992.87505,31486.82828,17029.54885,19853.16099,49669.93029,12732.25155,15139.730780000002,16173.22926,14084.92101,11456.13107,13196.6217,36380.7189,10946.665570000001,10714.17345,10003.125540000001,10192.09524,8130.017609999999,10765.58242,8378.626951999999,19274.17385,12715.17183,11628.30733,11022.84469,11691.46564,9425.069593,11242.62673,31293.14089,24146.9906,15988.564830000001,34155.27933,64004.42295,30728.31887,59747.774170000004,105723.3787,34343.876319999996,16853.52266,10402.50293,19657.70571,38950.625889999996,20635.58941,25658.4254,98860.52771000001,78851.32347999999,64190.368070000004,11955.45948,19557.082280000002,15568.43749,104169.5338,88109.88846,95568.57941,36866.9013,40357.0489,33454.14959,88731.90605,27449.335039999998,20124.20979,20021.027680000003,18584.60626,70380.17542,15884.609359999999,16649.670869999998,25465.40246
M277T2494,277.2125977,2493.929896,34044.91345,46345.638660000004,43616.78551,67218.1153,32545.631360000003,27491.174860000003,65436.39777999999,36684.82001,39089.58105,123461.9904,326400.1794,181297.4992,263044.8119,26494.11361,154788.7793,290834.8518,174751.907,289802.8492,21317.41667,70478.47135,85076.57431,97353.12777,50578.0418,36669.36004,70762.29991,44982.29659,42381.24194,94120.72779,21628.118430000002,56468.008579999994,0.0,56774.69207999999,66172.45212,81944.59909,53066.92863,46129.87511,35268.98942,29824.98993,33728.69074,34248.92335,24957.8738,28188.1079,31060.686789999996,24220.71991,32055.97978,59113.092229999995,26161.05151,52038.253619999996,52530.83465,46239.10392,49334.30209,31908.168039999997,72487.11632999999,41860.94122,79232.45645,19657.87338,21346.93294,119416.4717,24627.57662,83776.31591,26153.943030000002,53394.82947,34658.223,40176.31203,46867.81942,71178.35035,41708.32924,70113.1609,62091.896479999996,110709.55300000001,102993.8405,92565.89452,46502.22755,37005.66995,33739.774110000006,33824.47652,31607.471889999997,34141.86107,28728.19463,29076.718380000002,25849.36559
M277T882,277.2325503,881.9109251,17812.73981,9545.289938,19772.33913,70804.52217000001,55635.272260000005,75090.38079,105006.7743,83911.2803,103768.9268,8865.579067,8607.676484,8184.561542,10405.3972,10327.80739,11761.38281,11051.24973,13535.46175,14262.0641,9507.962468000002,10024.07307,11063.86434,17005.22809,26287.22209,58504.37744,25002.89909,38601.6805,47305.79724,9441.356259,9949.351173000001,9975.469774,8925.333779999999,9264.885026,8679.565127,9380.389118000001,9325.786466,8583.780967,5754.720209,6402.765974,10212.605940000001,8214.753655,7826.832798,7673.589375,9687.916234999999,7864.024078,10025.016109999999,9951.663553,7958.025945,7489.634144,36359.97887,32849.57514,38145.14554,76401.16433,40204.352439999995,39915.49402,8316.338175,9499.907615,8465.04135,34907.4483,12752.553020000001,17903.171730000002,94573.01469,55269.40882999999,63797.32959,9812.851161,9188.13753,10193.5482,17466.438130000002,42595.58274,43525.81472,106278.9596,116579.6246,103913.4689,10913.522659999999,7186.511063,10827.62852,23390.95305,18458.94484,66309.99999,14747.393680000001,20404.669380000003,24702.36564
M278T1932,278.1685175,1932.4247420000002,44765.99515,88829.76449,104442.6619,308689.8344,38167.218,30027.303939999998,302673.8273,141894.3749,191310.1819,87032.3917,63079.9588,130567.2325,154543.65,36877.64919,81209.37805,190506.4712,116833.9996,365988.2071,23878.8336,80727.73642,63002.508989999995,41181.44133,42437.21145,40048.17705,45671.20205,45653.05878,63867.857379999994,110451.5835,23792.61886,85886.42265,0.0,54856.819229999994,41736.77402,80573.8646,46122.61288,48615.74871,33155.22266,50816.10548,37814.271010000004,28106.3195,23752.50731,15999.44372,51031.19268,21321.163109999998,56460.51244,78244.38934,40673.614180000004,87719.75916,67739.27047999999,75398.239,68137.65063999999,48232.05685,91778.20011,60346.10105,75548.42092,24794.709890000002,41302.86688,76776.27297,29137.999939999998,86209.96152000001,30810.289419999997,41982.05874,48892.67775,67082.97572999999,67264.17821,81656.49205,63368.49171,72127.6776,74037.69205,91416.68426000001,90196.32614,73058.20306,62701.693960000004,57346.88981,25864.270669999998,49578.47117,39244.004989999994,35394.989030000004,35528.212869999996,125948.4872,33396.09627
M279T1806,278.638867,1806.2937809999999,185196.2965,304788.9876,238582.3965,203790.9125,217684.8302,270798.9621,215420.0282,167432.2771,155483.7161,80045.2214,42281.43821,70281.44477,51793.4292,125871.5401,74080.61905,35568.64487,82766.94617000001,21644.539119999998,102090.2739,75893.72998999999,68981.8628,62982.4952,66412.58348,92922.66368,62387.62413,67432.12152,57057.018,51283.18163,97479.84671,79106.99574,0.0,49279.05791,63989.53802000001,36164.47389,55438.26065,77967.54365,56057.66314,63752.22081,49286.184160000004,39560.78641,47716.99298,43641.94799,74089.31786,45373.82033,57032.0618,126679.6745,131631.8916,90517.57401,65287.24935,65375.132639999996,93553.34677999999,96311.46656,30609.11352,86050.57871,90746.3758,91209.94426,109680.3628,77386.89305,79623.76873,46568.62231,105112.93699999999,88273.3155,72842.52914,74833.92256,96445.90347,61873.794270000006,67235.12143,83194.23939,89748.73374,104393.6284,108982.8833,98350.56982,89552.27352,66379.66882,72319.32818,57225.40387,61985.789079999995,76945.34651,135667.1726,153601.8039,126343.6694
M279T2053,279.2283829,2052.837364,101227.3798,209272.7129,290253.9025,833200.1761,126092.1201,102671.5437,459396.4661,269071.1744,308180.6079,340323.3125,268390.3952,388876.7117,566288.4548,90027.32818,261275.8118,884960.1258,668978.8479,1803028.408,67952.43662000001,185076.2624,171838.658,224051.9799,234038.3067,115211.4275,192062.8227,144044.36800000002,188496.4692,271403.7995,60961.452860000005,240155.3326,0.0,182821.6154,262324.5817,261542.4494,266541.9198,166301.6075,104659.8016,89986.92216,46234.81656,86534.11877999999,38347.58399,41553.21903,169990.7283,54326.982339999995,64726.97875,154830.2641,88581.13217000001,182047.3399,173229.303,194850.4103,160883.9977,129880.3631,280702.2461,226480.5011,249009.2315,81483.71012999999,88453.28864,344721.6957,123898.3367,309831.5914,129292.8912,151694.6282,128997.1263,114409.0021,99145.66026,134914.13199999998,134490.3238,117951.6877,127758.2358,232362.5074,231783.3089,172533.0189,121169.3375,133710.9377,71277.37083,95205.86186,89494.95862,83439.72485,114807.0478,151587.8016,99310.38988
M280T1140,280.2616129,1140.470687,12999.53549,5449.90488,12991.17112,50974.05741,29334.427310000003,26549.71886,299848.2234,109521.4145,123634.6609,19906.5421,15134.46413,17252.66909,15086.134430000002,15814.120840000001,14049.050969999998,13041.176140000001,16557.18396,13619.671230000002,13790.52374,13560.61814,14592.170540000001,13838.34245,17114.01685,15454.04905,15687.843490000001,18914.29797,15829.46302,12462.6222,13291.75847,12889.51618,13373.41907,14476.08212,11888.88069,13678.400769999998,16708.44417,13440.4834,2705.89915,2288.461863,1841.160181,2564.849698,2585.987733,2097.86613,2862.686671,2455.4012079999998,1285.444308,13793.0453,13622.589269999999,13978.16559,15522.12253,16032.43896,16211.179540000001,23187.47395,19958.186169999997,16324.04567,15147.659619999999,16780.60424,17281.99104,31547.25102,18020.6702,18695.17689,64150.495339999994,22959.32728,25863.63164,14898.4436,16327.32576,15493.573390000001,22102.406740000002,17317.5958,17386.38307,105899.0229,103546.7157,80578.51809,4936.315528,1462.504895,4406.007292,5854.57186,5247.76948,7282.786109999999,5886.484262,7079.010494,6927.532897
M280T2053,280.2341273,2053.341447,22570.85345,37612.216810000005,59517.21064,166637.8799,26417.83814,22650.144269999997,92124.04543,54440.46163,66701.46895,67322.26736,56102.08716,76771.04652,109211.6943,19833.412930000002,54348.896120000005,173775.2811,127434.0418,341953.8079,14158.395209999999,38400.56589,34159.81837,45240.28335,46246.249189999995,24667.96372,41864.42695,30091.47636,40353.07077,57073.55905,13693.817030000002,46316.01249,0.0,39047.77314,52313.42737,52644.65042,56727.68619,35642.31564,22961.02574,18684.3041,11731.19353,18675.34848,10010.35752,10700.4144,35747.8867,12666.62307,14616.74478,32507.92088,20013.81847,37236.12897,34935.642589999996,38416.75611,32833.31762,27879.36385,57330.250360000005,47578.07093,52377.70087,17175.99046,19568.79802,70467.56204,25405.5359,63941.938270000006,26802.73372,31082.22905,26787.978430000003,23400.27361,19906.05903,27120.36068,26714.228030000002,24799.39281,26580.868319999998,45611.849910000004,46172.17328,34012.71658,25313.42868,28166.61088,16326.55379,20680.52559,19441.23644,18965.79331,25927.123330000002,30778.86923,21405.06856
M282T632,282.11188460000005,631.9385728,260744.4563,498682.459,183524.3647,109317.7559,420877.0871,86419.01869,4243761.947,4342756.07,1417665.2769999998,543174.6561,378565.7545,749858.2835,445823.033,133433.4921,186514.1949,1378455.534,442958.6823,805906.2885,81597.87256,152213.7921,108485.1929,135482.8796,37151.98212,19098.34315,58664.65392999999,24194.45355,16235.85717,74651.41255,14684.06512,32867.672510000004,14020.83969,33351.2002,15463.59081,45191.986339999996,18764.466819999998,9582.210551,9834.604695999999,10009.18837,9653.379326,10413.73633,8808.785625,5186.90758,44491.65113,25179.55902,47664.232110000004,110839.71800000001,103956.7161,160425.5914,29366.21502,162285.715,218232.9207,46283.35475,164155.4407,42538.835139999996,116688.7054,20077.65436,24998.825530000002,89287.12024,124619.0946,41055.41089,323221.1257,123277.3239,28576.76082,19463.61654,15927.39986,19758.666259999998,41280.852719999995,14264.60718,14141.37581,48104.211110000004,108597.1926,30171.083769999997,17515.469830000002,14494.54929,14664.8462,19507.35987,50137.0104,70002.31379,161776.3664,427010.987,169877.747
M282T761,282.11222260000005,760.5077445000001,14125392.7,17953966.24,5872186.204,2996238.624,4809331.322,1297784.955,7616153.08,5175047.074,2127623.828,803744.6774,270045.8574,1044059.9870000001,1629350.9409999999,137626.8373,359642.5676,3007953.7389999996,1061433.8429999999,1241051.564,74742.2966,93305.62075,169475.9076,53934.143520000005,28128.9614,19690.54592,20406.90378,12910.5704,18259.602880000002,11343.47647,11785.82798,17392.460590000002,10840.077870000001,7839.3778409999995,11593.00309,9793.316327,11328.83888,10594.717859999999,32798.402310000005,17012.37242,40874.5305,18254.6518,12689.09916,28629.272080000002,88836.72661,51663.62823,122248.3655,301979.1685,221515.1096,345045.4698,42758.84333,326668.7309,282450.967,71930.43002999999,241494.26100000003,50977.65235,251536.2999,32416.07217,51803.33543,103190.0835,343814.7028,71606.66132,562617.9873,276269.3311,40345.98945,39430.11607,20339.207019999998,37887.49128,76698.72585,10777.86298,26504.93039,72782.28762,212116.0502,58655.273160000004,191702.8174,258210.5945,243129.7954,106647.7657,425041.7564,561713.2366,224765.0484,408639.3304,220613.1854
M283T2587,283.2606048,2586.681627,267024.5,333503.0623,319345.3806,402923.9777,224453.5791,215658.7478,318885.6296,200626.0512,234926.5788,616074.4353,1404381.3569999998,1008086.673,1086088.705,109811.7746,568814.8412,1570709.2480000001,700333.95,1823951.3059999999,84270.6967,357248.2688,416163.3206,361557.4525,270888.5188,130738.3134,265427.1107,183923.3518,243504.1278,499218.041,98637.12228,331345.3673,0.0,278912.9701,324508.2995,463910.6537,275894.9982,194823.9066,170989.9087,140887.8935,154253.7842,114259.9157,99503.71194,79514.32373999999,170203.9615,112882.1368,158419.5068,288120.2048,138647.23,330078.8439,277374.9772,297381.915,292049.3896,241981.0108,643783.0067,3568896.061,341505.6264,107920.3788,96367.37778,416377.7672,115459.5666,420763.4299,97220.36273,250554.7706,151757.4033,250723.9498,234692.2486,418352.1737,201765.3062,290817.0712,265451.7963,508440.985,467279.2077,524227.5143,223746.7235,212768.0391,133525.7117,141285.3792,160726.0712,127383.9328,116675.9837,135719.048,89441.58986000001
M283T632,283.1156607,632.3887722999999,54969.51787,105956.6868,45510.18025,35144.84592,93669.97638,30383.38535,809136.7584,829160.745,281189.9389,110043.4604,75872.62879,148582.7878,94698.13953,30195.444860000003,42717.52974,261417.9452,90413.76204,164031.344,20974.15094,37283.69779,27247.978180000002,33815.927939999994,16263.51666,12975.24898,15150.92376,13732.6586,11619.86705,15858.231590000001,12340.38941,16320.53467,12603.3132,14011.37895,11719.672279999999,12107.91413,11690.31262,9977.45664,9485.213437999999,15125.8412,6032.310366,11823.93886,15624.09722,7203.629758,21251.78039,15302.905569999999,19323.60246,26804.541419999998,26715.302219999998,40336.33004,15213.838240000001,39349.45275,49391.18087,16091.402180000001,35363.488110000006,114585.6426,30195.18007,10894.234390000001,13909.027230000002,24262.19474,31365.208110000003,16856.30287,68490.94038,29211.57403,13425.99759,12671.27827,10198.60752,10503.70894,14303.3598,9934.950048,9951.692713,17663.29981,27359.873480000002,12926.5624,13429.443269999998,11205.738609999999,11549.85197,15479.87835,19023.58467,21838.48068,42861.26433,93570.41618,43882.4256
M283T761,283.1144738,760.7810295,2535934.109,3257727.666,1082045.817,584092.1582,898019.4934,274609.1444,1419445.792,969477.0920000001,413666.6294,165063.1424,73606.42053999999,208448.1068,320189.9688,47346.04799,89104.21062,552469.6559,212456.5393,245598.0688,30406.811789999996,33699.64584,49841.82733,30578.282939999997,22693.77014,24146.95133,24091.82577,25377.802000000003,25289.16892,27136.026739999998,34457.87147,27061.0797,31223.06622,37389.347780000004,26726.22088,26732.825230000002,20272.28729,25472.560680000002,33845.57374,37957.09819,31400.351469999998,33501.20081,52870.9387,34134.119,48310.69502,42854.13246,50538.12379,76204.27622,60755.281989999996,84319.22767000001,30979.90514,88905.17417,73056.87478,34463.703089999995,61000.734000000004,27572.199739999996,74017.67934,28454.29435,27560.5186,40321.9383,89409.24257,33368.04429,121207.9521,66882.79157999999,32050.25731,25562.49401,17668.97221,21651.87276,25906.95118,14789.712,18229.35234,27977.54833,52624.43875,22754.84973,73225.85996,65887.21339,69513.40234,47059.97498,101926.2161,125824.22099999999,69743.33695,107019.841,68191.78577
