name,12hpi_Cf_1,12hpi_Cf_2,12hpi_Cf_3,1dpi_Cf_1,1dpi_Cf_2,1dpi_Cf_3,2dpi_Cf_1,2dpi_Cf_2,2dpi_Cf_3,12hpi_Chitin_1,12hpi_Chitin_2,12hpi_Chitin_3,1dpi_Chitin_1,1dpi_Chitin_2,1dpi_Chitin_3,2dpi_Chitin_1,2dpi_Chitin_2,2dpi_Chitin_3,12hpi_Flg22_1,12hpi_Flg22_2,12hpi_Flg22_3,1dpi_Flg22_1,1dpi_Flg22_2,1dpi_Flg22_3,2dpi_Flg22_1,2dpi_Flg22_2,2dpi_Flg22_3,2hpi_Mock_1,2hpi_Mock_2,2hpi_Mock_3,1dpi_Mock_1,1dpi_Mock_2,1dpi_Mock_3,2dpi_Mock_1,2dpi_Mock_2,2dpi_Mock_3,2hpi_Mock_1,2hpi_Mock_2,2hpi_Mock_3,1dpi_Mock_1,1dpi_Mock_2,1dpi_Mock_3,2dpi_Mock_1,2dpi_Mock_2,2dpi_Mock_3,12hpi_Mz_1,12hpi_Mz_2,12hpi_Mz_3,1dpi_Mz_1,1dpi_Mz_2,1dpi_Mz_3,2dpi_Mz_1,2dpi_Mz_2,2dpi_Mz_3,12hpi_Pb_1,12hpi_Pb_2,12hpi_Pb_3,1dpi_Pb_1_,1dpi_Pb_2_,1dpi_Pb_3_,2dpi_Pb_1_,2dpi_Pb_2_,2dpi_Pb_3_,12hpi_Sc_1,12hpi_Sc_2,12hpi_Sc_3,1dpi_Sc_1,1dpi_Sc_2,1dpi_Sc_3,2dpi_Sc_1,2dpi_Sc_2,2dpi_Sc_3,12hpi_XeWT_1,12hpi_XeWT_2,12hpi_XeWT_3,1dpi_XeWT_1,1dpi_XeWT_2,1dpi_XeWT_3,2dpi_XeWT_1,2dpi_XeWT_2,2dpi_XeWT_3
M284T651,31099.9522,37733.2098,14174.27427,19261.48259,53850.25545,28610.24121,264458.0897,471093.3833,206154.1739,1195753.63,1707675.022,1629853.732,937755.1796,2345874.664,1650720.29,1022244.175,2359309.089,1194720.28,324258.7057,325929.8908,178230.6017,594729.4421,397372.8003,286624.1929,191794.2541,122816.3264,55488.04683,38563.60818,55462.36396,278155.3191,45052.66157,28134.14414,106285.9217,17392.23275,36195.30796,32113.91225,12523.65311,10583.39698,21550.07774,10097.01991,7821.201575,16274.10328,51412.11146,19651.53853,33020.36611,114515.7166,253657.0615,282759.5575,115179.1358,163877.3096,110305.6963,35498.86303,59763.06314,2758852.483,191000.3326,51693.42634,80145.60251,266051.1549,112485.6342,184002.8352,297189.394,59931.87738,70682.93008,69557.83435,83533.80078,46458.89817,195497.0595,56678.56229,32227.18216,64569.58209,68582.0177,25907.30504,24073.99364,13632.70429,12485.22391,14801.75415,17831.97376,14098.81642,61305.12787,59978.98875,46835.35061
M621T761,3070604.126,3591853.509,1662360.727,850398.5806,1177666.71,338858.4717,1814283.143,1420833.245,639521.385,154352.136,44689.9027,267164.6401,389796.9876,12878.01773,49232.32111,847758.2706,196593.4978,284003.9694,8872.314832,12704.40619,27737.41188,9088.519487,6588.945518,4774.66374,5481.333869,5437.024463,4787.550919,4965.512294,5815.981071,5261.126456,4830.646947,3476.397053,4697.713929,4721.722276,6185.020311,5761.455069,4339.255382,4375.585531,5438.00943,3690.754849,5688.573806,4621.13915,9307.355004,8035.741201,15278.21735,59382.41693,40701.57353,76175.33248,5807.855093,69682.1294,53265.9006,8348.618142,54606.70751,6795.993845,53531.31411,2892.098932,6044.41755,16819.29719,87823.84343,8194.352375,161887.0169,58348.31751,5662.839316,5016.081619,5025.243675,3843.745814,8361.216158,3084.844003,3939.725195,7995.161137,31114.13592,6511.418689,28343.24489,71687.32591,63615.91406,17086.14732,149508.4919,219897.3558,57013.89976,131076.1271,54058.69513
M330T918,4049298.401,2750745.149,1468586.651,1525240.294,2814021.765,1864402.46,3150311.367,1578469.936,1020588.989,396044.0177,378198.1497,347327.0535,2176284.306,797831.6367,1312355.976,2099216.102,2394752.602,2348786.493,572476.9558,655573.885,1355286.356,295726.9935,483972.5054,533311.7966,74229.99862,199107.1634,187409.0905,102588.5051,97279.52639,145339.2279,39174.60425,31317.61891,33988.41237,32238.03695,22953.9861,25507.46272,19473.75112,25448.28786,96330.21453,12430.81692,14111.71109,14772.25537,13321.2233,10919.35263,25947.07153,3031791.181,2336987.687,2675174.207,1882056.371,812692.0712,1423236.428,1200008.631,1081210.715,874918.63,1218342.079,163602.5922,702202.2955,1562844.075,255474.0395,551298.1975,674417.725,1254451.359,606101.4032,144491.148,622147.7331,183993.2303,2321074.94,2038052.598,1664788.482,643112.9123,1108412.699,335905.4691,775874.9001,307675.9362,402515.5509,200774.8293,311407.4766,443511.2458,235587.4026,234644.9385,284730.8677
M344T1055,666842.7971,545916.605,259118.4554,306055.8354,430300.7059,303685.2471,478775.3381,361528.5157,268650.9024,372724.1737,390501.5734,287451.7043,1792596.406,519379.0523,1126161.206,2185561.763,1329459.694,1760228.218,142396.1834,228164.6082,371322.308,144435.4748,195969.3183,193055.0016,56820.14655,80524.34213,123306.7016,95440.34887,52179.78188,113549.4713,32196.2012,25353.47662,37663.07015,25608.94874,24453.69791,21185.24136,25724.25305,30166.55058,74659.54985,17793.4058,14428.4933,21880.31985,12176.19832,9659.322063,25216.76721,847799.0015,646340.0841,721572.3549,735146.589,497955.0566,599337.5178,245521.9436,327991.8152,212602.0333,264903.1627,104340.4327,260843.6141,326671.1984,110244.6731,282996.6996,112525.6159,255451.2692,140875.9308,140972.0723,527910.5611,208202.3723,860735.0732,878204.0706,585432.781,225805.906,314161.522,214282.8968,346753.9172,203298.1427,227102.7691,149501.9645,237731.89,331300.8565,253579.8984,275576.3665,254718.8121
M243T650,6751.668252,10563.81041,2237.084321,3304.776922,15321.69105,7830.007472,43885.94066,118565.0339,52614.59776,323792.1382,440959.2398,424088.8004,256398.005,629068.9868,444099.6091,276726.5599,583567.1905,320487.5246,94517.9018,86253.28915,52517.4973,164697.7723,119619.5398,90421.43087,66371.11602,42095.57651,18785.21056,10898.14877,17702.10848,78643.45637,12836.51589,10391.08946,32620.59428,3390.267765,12348.33892,8091.829165,2071.344731,2432.774694,4387.706585,1918.919527,2246.910761,1889.550749,16341.5583,5544.39428,6655.045824,31763.92778,76922.19813,80180.20553,31652.36401,46367.28595,30316.08267,10285.92101,18251.96652,20757.56206,62105.48362,15801.5451,23411.32425,73651.60942,37202.85493,53083.01557,96695.28517,18753.0431,26303.72697,20456.3443,21806.92666,12639.33526,61369.62365,15107.80832,7756.452211,21320.20105,21086.76726,6922.783175,7036.939857,3118.878724,3161.735977,3057.41153,5235.057709,3315.42559,21416.49291,20836.83049,17212.6925
M306T1012,1006729.821,1304324.962,437829.7567,300626.6712,360212.3846,215079.3022,244208.2227,229387.4455,146070.249,842759.3301,439403.447,959738.617,606962.4143,199817.3337,365969.103,742837.6682,596228.7848,742779.1849,96058.06076,107094.6614,142589.8436,46335.55892,33514.30017,45429.64521,25421.71001,20697.49006,39991.55206,30601.03231,33649.18127,42257.80716,21564.26157,17462.0019,17503.57479,18325.64,17621.01889,12929.41848,152171.9707,33782.3722,101235.7527,43454.45579,24408.40017,74117.23306,66599.20424,21458.82222,55841.05738,159486.7702,303378.9442,413856.1885,55477.39035,144820.953,94265.8544,54508.71841,124635.9686,37608.95436,209788.9011,91651.61367,122895.4429,51786.43778,237060.4076,89994.35773,83190.66674,96971.1397,31616.30568,168576.7965,106533.5911,161595.5061,181700.4811,66543.88545,92328.24002,44414.27245,97468.49321,40573.59362,383935.1094,356309.4347,288620.7001,108019.1505,208028.9734,154728.7272,97051.31397,99775.46957,86011.1864
M298T672,34791655.23,24580673.89,23915096.4,5502198.432,22316673.07,9685555.124,17225753.59,6198538.482,2914758.936,152632.1918,73036.04982,237216.383,310344.852,26967.33148,81432.77496,726995.122,410963.2741,553557.5544,156672.0327,365403.6785,571357.794,45947.79224,23982.65144,16093.60634,15786.81588,15488.89843,9368.638266,8170.338833,22875.56414,18912.59535,7416.184843,7217.897369,5774.566162,7878.000459,6820.013205,4682.408718,8411.219701,7628.935507,9003.448771,4863.910309,7124.802565,6228.96303,5663.375229,4753.956742,5346.360904,401271.4902,326203.4719,420122.3809,45871.20141,166974.4732,339962.0706,98934.96195,475229.7521,102036.3176,235700.9171,8466.230764,52553.2288,767838.4154,49825.54809,19385.01727,241407.3244,69642.08079,23112.64,9682.323643,19824.17942,15072.16449,63128.77414,30733.62445,36395.43654,109409.2688,238884.3649,27754.0968,38412.971,21644.25584,57794.35989,131085.1168,138159.1919,227926.4323,216660.8502,141073.9668,172314.6234
M446T648,43825.6992,55375.93097,23710.38732,28926.98927,89385.14525,41760.4366,267058.3218,790574.042,353274.0897,2129134.837,2842403.514,2665444.046,1794388.005,4398876.898,3109594.392,2284381.012,4839929.457,2685493.434,518762.7253,507560.3989,302672.6526,1059712.021,761690.1081,554857.7345,451084.3158,294840.9788,141878.0971,57523.37531,96669.69678,483392.1437,78382.08734,51742.6907,198970.6013,32045.93028,90593.01904,84596.34096,16034.72883,17051.64598,27681.31218,12992.77279,9203.959236,16673.52528,103194.8678,35026.21503,59223.89148,163242.5804,371595.0786,436821.7887,173134.5402,254815.7776,175322.3925,65980.50959,109405.4036,110415.9735,341956.6409,84273.54447,121108.2991,487046.5172,192317.6169,335963.7559,640141.8994,123427.5557,156148.202,101809.8499,113727.1144,66145.84669,337259.7608,88967.98303,49789.13815,128412.286,124761.3401,41677.02803,34537.00675,17540.19961,17140.54529,19213.19523,23029.89667,16002.64892,113620.0484,110509.1941,88729.07893
M678T2044,7201.42448,12456.84667,7451.981792,9256.16566,8966.40058,6953.904472,8346.575134,7087.702557,5995.855841,195546.4609,460656.2746,307515.2323,338859.6098,19239.0267,178535.1645,345297.9442,351094.1181,327052.4968,7444.690256,53331.99385,24020.89098,58627.62312,29708.74674,13237.14859,28301.24242,18095.45817,14417.47808,11582.84085,10757.12441,25378.65428,0,10445.2882,18047.86415,9139.114274,11694.32519,7338.721707,7006.943849,4560.522568,3395.192034,6899.279141,8663.703608,4899.864585,4574.607536,3779.387148,2305.219389,16392.35749,12308.63684,34797.00472,20945.28841,24777.94669,11337.58855,6714.383255,10801.53855,11257.74131,24197.38331,5765.335558,7050.768714,34056.26198,9707.195474,34436.63275,9702.937564,9448.276441,10760.12333,11797.81718,13272.50001,14481.00796,29045.36645,13457.71233,8038.586926,9603.573961,10926.17824,6687.470334,9293.920739,8878.028397,9592.282677,8995.775473,7650.43392,10771.6053,3070.186626,2807.51327,3420.282224
M306T892,33385.94894,67044.58161,27873.65335,31233.14683,52205.94158,24644.73071,397442.2931,533755.8237,309847.1543,665129.6171,697614.2248,880395.0603,429501.3635,237184.3795,301883.5461,619592.3274,433424.7159,540253.5771,55790.70854,109322.2441,88960.09485,129578.0864,65478.58134,30739.04836,64733.98008,33339.12675,30055.25667,26844.53437,18413.10863,43839.75125,17068.98805,18381.41511,42159.72728,13246.9189,28209.97789,13478.84067,17126.66776,10197.57771,8975.581271,8041.42865,7816.978137,8277.693045,100260.566,42191.17819,65285.46498,80124.18456,158698.2125,246955.6409,51225.5573,135455.6673,132628.8437,44055.86706,75599.28394,46660.75852,234651.2963,52106.42994,51568.92143,63585.51794,164379.2371,103489.8071,96849.73328,76931.24382,30911.73055,42835.32489,20017.44125,34113.72434,70564.8603,13730.90742,14250.32094,23747.09632,59480.55002,22563.58642,15156.88846,12996.38117,15413.92474,18217.36929,24768.32976,14414.36316,129601.9741,210510.0315,126306.8426
